date,temperature_C,air_quality_index,humidity_percent,wind_speed_kmh,rain,charging_level_required
2024-01-01,18.0,290.0,42.0,7.3,0,Level 1
2024-01-02,15.4,330.0,21.7,14.0,0,Level 3
2024-01-03,14.1,228.0,25.5,9.6,0,Level 1
2024-01-04,18.2,244.0,33.0,14.2,0,Level 1
2024-01-05,12.4,318.0,33.7,8.0,0,Level 3
2024-01-06,10.4,207.0,37.8,14.1,0,Level 1
2024-01-07,13.6,266.0,40.5,6.8,0,Level 1
2024-01-08,14.8,336.0,21.0,8.9,0,Level 3
2024-01-09,16.8,228.0,36.4,19.5,0,Level 1
2024-01-10,8.2,334.0,48.2,14.0,0,Level 3
2024-01-11,15.5,241.0,31.7,17.4,0,Level 1
2024-01-12,14.8,281.0,28.4,7.1,0,Level 1
2024-01-13,13.3,322.0,20.2,15.6,0,Level 3
2024-01-14,18.4,211.0,43.1,10.4,0,Level 1
2024-01-15,17.3,210.0,29.9,9.7,0,Level 1
2024-01-16,19.9,296.0,41.9,18.3,0,Level 1
2024-01-17,17.4,284.0,42.8,16.6,0,Level 1
2024-01-18,13.4,264.0,35.7,5.4,0,Level 1
2024-01-19,16.3,276.0,29.4,18.6,0,Level 1
2024-01-20,14.8,313.0,32.3,8.4,0,Level 3
2024-01-21,12.8,321.0,47.9,14.5,0,Level 3
2024-01-22,14.0,228.0,44.1,18.4,0,Level 1
2024-01-23,13.2,264.0,26.8,17.3,0,Level 1
2024-01-24,14.7,277.0,20.2,11.3,0,Level 1
2024-01-25,14.6,248.0,48.3,12.8,0,Level 1
2024-01-26,12.8,346.0,30.9,19.4,0,Level 3
2024-01-27,8.3,206.0,28.5,14.1,0,Level 1
2024-01-28,15.9,242.0,21.5,18.6,0,Level 1
2024-01-29,15.9,236.0,49.6,15.1,0,Level 1
2024-01-30,11.3,309.0,27.1,10.5,0,Level 3
2024-01-31,18.3,325.0,22.7,9.8,0,Level 3
2024-02-01,24.8,189.0,21.2,15.2,0,Level 1
2024-02-02,9.8,126.0,39.4,15.4,0,Level 1
2024-02-03,16.3,121.0,48.1,10.1,0,Level 1
2024-02-04,19.3,183.0,44.5,12.9,0,Level 1
2024-02-05,11.1,235.0,22.8,18.5,0,Level 1
2024-02-06,11.1,235.0,41.8,18.3,0,Level 1
2024-02-07,10.7,113.0,39.3,7.4,0,Level 1
2024-02-08,17.2,124.0,20.2,13.2,0,Level 1
2024-02-09,13.1,134.0,39.6,15.7,0,Level 1
2024-02-10,20.6,227.0,39.5,14.9,0,Level 1
2024-02-11,12.7,155.0,22.8,9.0,0,Level 1
2024-02-12,15.7,195.0,46.8,16.9,0,Level 1
2024-02-13,17.4,174.0,37.3,7.9,0,Level 1
2024-02-14,11.7,243.0,48.2,18.7,0,Level 1
