date,temperature_C,air_quality_index,humidity_percent,wind_speed_kmh,rain,charging_level_required
2024-01-01,18.0,210.0,52.0,7.3,0,Level 1
2024-01-02,15.4,237.0,31.7,14.0,0,Level 3
2024-01-03,14.1,168.0,35.5,9.6,0,Level 1
2024-01-04,18.2,179.0,43.0,14.2,0,Level 1
2024-01-05,12.4,229.0,43.7,8.0,0,Level 3
2024-01-06,10.4,155.0,47.8,14.1,0,Level 1
2024-01-07,13.6,194.0,50.5,6.8,0,Level 1
2024-01-08,14.8,241.0,31.0,8.9,0,Level 3
2024-01-09,16.8,168.0,46.4,19.5,0,Level 1
2024-01-10,8.2,239.0,58.2,14.0,0,Level 3
2024-01-11,15.5,177.0,41.7,17.4,0,Level 1
2024-01-12,14.8,204.0,38.4,7.1,0,Level 1
2024-01-13,13.3,232.0,30.2,15.6,0,Level 3
2024-01-14,18.4,157.0,53.1,10.4,0,Level 1
2024-01-15,17.3,156.0,39.9,9.7,0,Level 1
2024-01-16,19.9,214.0,51.9,18.3,0,Level 1
2024-01-17,17.4,206.0,52.8,16.6,0,Level 1
2024-01-18,13.4,193.0,45.7,5.4,0,Level 1
2024-01-19,16.3,201.0,39.4,18.6,0,Level 1
2024-01-20,14.8,226.0,42.3,8.4,0,Level 3
2024-01-21,12.8,231.0,57.9,14.5,0,Level 3
2024-01-22,14.0,169.0,54.1,18.4,0,Level 1
2024-01-23,13.2,193.0,36.8,17.3,0,Level 1
2024-01-24,14.7,201.0,30.2,11.3,0,Level 1
2024-01-25,14.6,182.0,58.3,12.8,0,Level 1
2024-01-26,12.8,247.0,40.9,19.4,0,Level 3
2024-01-27,8.3,154.0,38.5,14.1,0,Level 1
2024-01-28,15.9,178.0,31.5,18.6,0,Level 1
2024-01-29,15.9,174.0,59.6,15.1,0,Level 1
2024-01-30,11.3,223.0,37.1,10.5,0,Level 3
2024-01-31,18.3,234.0,32.7,9.8,0,Level 3
2024-02-01,24.8,151.0,31.2,15.2,0,Level 1
2024-02-02,9.8,101.0,49.4,15.4,0,Level 1
2024-02-03,16.3,97.0,58.1,10.1,0,Level 1
2024-02-04,19.3,147.0,54.5,12.9,0,Level 1
2024-02-05,11.1,188.0,32.8,18.5,0,Level 1
2024-02-06,11.1,188.0,51.8,18.3,0,Level 1
2024-02-07,10.7,90.0,49.3,7.4,0,Level 1
2024-02-08,17.2,99.0,30.2,13.2,0,Level 1
2024-02-09,13.1,107.0,49.6,15.7,0,Level 1
2024-02-10,20.6,182.0,49.5,14.9,0,Level 1
2024-02-11,12.7,124.0,32.8,9.0,0,Level 1
2024-02-12,15.7,156.0,56.8,16.9,0,Level 1
2024-02-13,17.4,139.0,47.3,7.9,0,Level 1
2024-02-14,11.7,194.0,58.2,18.7,0,Level 1
2024-02-15,17.9,191.0,30.5,11.4,0,Level 1
2024-02-16,12.6,118.0,55.5,7.5,0,Level 1
2024-02-17,9.9,164.0,58.1,13.6,0,Level 1
2024-02-18,16.2,169.0,56.3,15.5,0,Level 1
2024-02-19,11.4,115.0,40.8,17.1,0,Level 1
2024-02-20,18.1,158.0,53.9,15.5,0,Level 1
2024-02-21,31.4,121.0,56.7,10.6,0,Level 2
2024-02-22,14.1,145.0,44.0,9.3,0,Level 1
2024-02-23,16.3,84.0,30.9,17.3,0,Level 1
2024-02-24,16.3,106.0,53.1,14.3,0,Level 1
2024-02-25,11.7,144.0,31.6,13.1,0,Level 1
2024-02-26,7.9,112.0,53.9,11.6,0,Level 1
2024-02-27,16.7,196.0,30.8,17.5,0,Level 1
2024-02-28,11.2,110.0,34.7,13.2,0,Level 1
2024-02-29,14.7,114.0,49.8,19.3,0,Level 1
2024-03-01,48.6,110.0,42.6,10.3,0,Level 3
2024-03-02,43.2,94.0,30.4,5.7,0,Level 3
2024-03-03,40.2,92.0,44.2,12.4,0,Level 2
2024-03-04,41.9,132.0,35.2,11.0,0,Level 2
2024-03-05,35.8,155.0,41.2,12.5,0,Level 2
2024-03-06,38.7,100.0,49.8,6.1,0,Level 2
2024-03-07,38.3,149.0,58.2,10.8,0,Level 2
2024-03-08,36.1,145.0,43.7,19.1,0,Level 2
2024-03-09,39.4,118.0,32.1,17.7,0,Level 2
2024-03-10,34.9,114.0,54.4,6.8,0,Level 2
2024-03-11,42.5,176.0,52.1,9.2,0,Level 3
2024-03-12,39.5,177.0,52.5,19.9,0,Level 2
2024-03-13,44.4,192.0,40.2,17.9,0,Level 3
2024-03-14,35.0,171.0,52.5,6.5,0,Level 2
2024-03-15,44.5,187.0,39.6,10.8,0,Level 3
2024-03-16,38.1,91.0,57.2,9.8,0,Level 2
2024-03-17,38.5,134.0,49.0,9.4,0,Level 2
2024-03-18,41.0,170.0,50.2,16.9,0,Level 2
2024-03-19,37.9,146.0,31.7,11.6,0,Level 2
2024-03-20,33.5,94.0,40.5,7.1,0,Level 2
2024-03-21,33.9,164.0,32.5,6.1,0,Level 2
2024-03-22,39.2,90.0,51.2,6.3,1,Level 3
2024-03-23,30.8,194.0,54.4,19.8,0,Level 2
2024-03-24,31.0,90.0,41.3,16.7,0,Level 2
2024-03-25,42.3,139.0,33.3,5.2,0,Level 3
2024-03-26,37.2,94.0,31.7,6.8,0,Level 2
2024-03-27,40.6,125.0,58.9,9.3,0,Level 2
2024-03-28,45.7,196.0,36.7,5.2,0,Level 3
2024-03-29,39.1,146.0,32.2,19.5,0,Level 2
2024-03-30,38.1,163.0,48.9,11.8,0,Level 2
2024-03-31,42.4,114.0,31.4,19.3,0,Level 3
2024-04-01,38.9,154.0,43.7,9.2,0,Level 2
2024-04-02,27.4,89.0,47.5,19.6,1,Level 3
2024-04-03,35.4,144.0,50.9,9.6,0,Level 2
2024-04-04,33.5,179.0,57.3,19.2,0,Level 2
2024-04-05,40.5,130.0,48.4,19.0,0,Level 2
2024-04-06,43.9,98.0,59.6,13.9,0,Level 3
2024-04-07,35.7,181.0,59.1,17.6,0,Level 2
2024-04-08,30.0,184.0,31.7,17.2,1,Level 3
2024-04-09,35.0,147.0,59.9,16.5,0,Level 2
2024-04-10,35.7,95.0,43.5,19.3,0,Level 2
2024-04-11,41.1,161.0,36.9,14.3,0,Level 2
2024-04-12,39.7,173.0,45.6,12.8,0,Level 2
2024-04-13,34.3,147.0,46.6,18.1,0,Level 2
2024-04-14,41.2,106.0,51.1,7.0,0,Level 2
2024-04-15,44.8,151.0,40.5,10.9,0,Level 3
2024-04-16,36.7,174.0,45.4,10.9,0,Level 2
2024-04-17,41.6,194.0,55.9,7.2,0,Level 2
2024-04-18,29.5,198.0,43.8,12.4,0,Level 2
2024-04-19,37.7,109.0,49.0,6.1,0,Level 2
2024-04-20,39.8,121.0,35.5,18.5,0,Level 2
2024-04-21,33.3,101.0,50.0,7.9,0,Level 2
2024-04-22,35.3,91.0,35.3,6.8,0,Level 2
2024-04-23,34.0,124.0,36.2,12.6,0,Level 2
2024-04-24,34.5,191.0,56.2,5.9,0,Level 2
2024-04-25,39.1,170.0,54.2,7.8,0,Level 2
2024-04-26,36.6,124.0,48.5,11.9,0,Level 2
2024-04-27,26.5,110.0,31.1,15.7,0,Level 2
2024-04-28,53.4,134.0,33.2,13.0,0,Level 3
2024-04-29,43.6,125.0,38.1,5.3,0,Level 3
2024-04-30,34.8,187.0,33.6,13.9,0,Level 2
2024-05-01,32.6,140.0,53.7,6.3,0,Level 2
2024-05-02,45.6,95.0,42.9,9.3,0,Level 3
2024-05-03,40.7,148.0,49.4,10.3,1,Level 3
2024-05-04,31.0,98.0,33.1,8.7,0,Level 2
2024-05-05,40.8,114.0,35.6,7.6,0,Level 2
2024-05-06,38.2,198.0,42.3,6.7,0,Level 2
2024-05-07,33.8,184.0,59.1,17.3,0,Level 2
2024-05-08,40.5,147.0,57.9,13.6,0,Level 2
2024-05-09,33.1,102.0,53.1,9.9,0,Level 2
2024-05-10,29.9,153.0,33.4,9.3,0,Level 2
2024-05-11,38.2,138.0,34.6,13.0,0,Level 2
2024-05-12,33.7,199.0,31.9,9.8,0,Level 2
2024-05-13,36.1,162.0,37.6,16.4,0,Level 2
2024-05-14,25.6,192.0,40.5,17.5,0,Level 2
2024-05-15,34.0,168.0,33.7,19.1,0,Level 2
2024-05-16,38.4,181.0,47.2,7.1,0,Level 2
2024-05-17,37.2,100.0,36.0,7.5,0,Level 2
2024-05-18,39.4,185.0,40.8,10.9,0,Level 2
2024-05-19,48.4,125.0,43.2,11.9,0,Level 3
2024-05-20,38.1,188.0,37.0,10.8,0,Level 2
2024-05-21,46.4,155.0,57.2,6.8,0,Level 3
2024-05-22,30.6,175.0,34.2,14.3,0,Level 2
2024-05-23,43.7,175.0,56.8,7.3,0,Level 3
2024-05-24,42.2,148.0,31.0,16.4,0,Level 3
2024-05-25,33.7,179.0,40.3,6.7,0,Level 2
2024-05-26,36.7,98.0,53.9,8.4,0,Level 2
2024-05-27,33.1,157.0,51.6,15.4,0,Level 2
2024-05-28,34.1,189.0,35.4,13.8,0,Level 2
2024-05-29,31.8,194.0,43.9,7.3,0,Level 2
2024-05-30,50.2,185.0,30.5,19.0,0,Level 3
2024-05-31,38.6,191.0,50.9,15.6,0,Level 2
2024-06-01,47.4,168.0,42.7,19.0,0,Level 3
2024-06-02,44.7,94.0,43.5,19.8,0,Level 3
2024-06-03,38.3,128.0,47.7,5.8,0,Level 2
2024-06-04,43.5,81.0,54.1,10.0,0,Level 3
2024-06-05,42.1,122.0,40.4,16.1,0,Level 3
2024-06-06,38.4,134.0,36.7,7.1,0,Level 2
