date,temperature_C,air_quality_index,humidity_percent,wind_speed_kmh,rain,charging_level_required
2024-01-01,17.5,320.0,49.3,8.1,0,Level 3
2024-01-02,14.3,373.0,22.3,17.0,0,Level 3
2024-01-03,12.7,237.0,27.3,11.1,0,Level 1
2024-01-04,17.7,258.0,37.3,17.2,0,Level 1
2024-01-05,10.5,357.0,38.2,9.0,0,Level 3
2024-01-06,7.9,209.0,43.7,17.2,0,Level 1
2024-01-07,12.0,288.0,47.4,7.4,0,Level 1
2024-01-08,13.5,382.0,21.4,10.2,0,Level 3
2024-01-09,16.0,237.0,41.9,24.4,0,Level 1
2024-01-10,5.2,379.0,57.6,17.0,0,Level 3
2024-01-11,14.4,254.0,35.5,21.6,0,Level 1
2024-01-12,13.5,309.0,31.2,7.8,0,Level 3
2024-01-13,11.6,363.0,20.2,19.1,0,Level 3
2024-01-14,18.1,215.0,50.9,12.2,0,Level 1
2024-01-15,16.7,213.0,33.2,11.2,0,Level 1
2024-01-16,19.9,328.0,49.2,22.7,0,Level 3
2024-01-17,16.8,312.0,50.4,20.4,0,Level 3
2024-01-18,11.8,286.0,40.9,5.5,0,Level 1
2024-01-19,15.4,302.0,32.6,23.2,0,Level 3
2024-01-20,13.5,351.0,36.4,9.6,0,Level 3
2024-01-21,11.0,362.0,57.2,17.7,0,Level 3
2024-01-22,12.5,237.0,52.1,22.9,0,Level 1
2024-01-23,11.5,285.0,29.1,21.4,0,Level 1
2024-01-24,13.4,302.0,20.3,13.3,0,Level 3
2024-01-25,13.3,265.0,57.7,15.4,0,Level 1
2024-01-26,11.0,394.0,34.5,24.2,0,Level 3
2024-01-27,5.4,207.0,31.4,17.2,0,Level 1
2024-01-28,14.9,256.0,22.1,23.2,0,Level 1
2024-01-29,14.8,248.0,59.4,18.4,0,Level 1
2024-01-30,9.2,346.0,29.5,12.4,0,Level 3
2024-01-31,17.9,367.0,23.6,11.4,0,Level 3
2024-02-01,26.0,189.0,21.6,18.6,0,Level 2
2024-02-02,7.2,126.0,45.8,18.8,0,Level 1
2024-02-03,15.3,121.0,57.5,11.8,0,Level 1
2024-02-04,19.1,183.0,52.7,15.6,0,Level 1
2024-02-05,8.8,235.0,23.7,23.0,0,Level 1
2024-02-06,8.8,235.0,49.0,22.7,0,Level 1
2024-02-07,8.4,113.0,45.7,8.2,0,Level 1
2024-02-08,16.5,124.0,20.2,16.0,0,Level 1
2024-02-09,11.4,134.0,46.1,19.2,0,Level 1
2024-02-10,20.8,227.0,46.0,18.2,0,Level 2
2024-02-11,10.9,155.0,23.7,10.3,0,Level 1
2024-02-12,14.6,195.0,55.7,20.9,0,Level 1
2024-02-13,16.7,174.0,43.1,8.9,0,Level 1
2024-02-14,9.6,243.0,57.6,23.3,0,Level 1
2024-02-15,17.4,239.0,20.6,13.6,1,Level 3
2024-02-16,10.8,148.0,54.0,8.4,0,Level 1
2024-02-17,7.4,204.0,57.4,16.4,0,Level 1
2024-02-18,15.3,211.0,55.1,18.9,0,Level 1
2024-02-19,9.3,144.0,34.4,21.2,0,Level 1
2024-02-20,17.6,197.0,51.9,19.0,0,Level 1
2024-02-21,34.3,151.0,55.6,12.5,0,Level 2
2024-02-22,12.6,181.0,38.6,10.7,0,Level 1
2024-02-23,15.4,106.0,21.2,21.5,0,Level 1
2024-02-24,15.3,132.0,50.8,17.5,0,Level 1
2024-02-25,9.6,180.0,22.1,15.8,0,Level 1
2024-02-26,4.9,141.0,51.8,13.8,0,Level 1
2024-02-27,15.9,244.0,21.0,21.7,0,Level 1
2024-02-28,9.0,138.0,26.3,16.0,0,Level 1
2024-02-29,13.3,142.0,46.4,24.1,0,Level 1
2024-03-01,45.6,137.0,36.8,12.1,0,Level 3
2024-03-02,40.2,117.0,20.6,5.9,0,Level 3
2024-03-03,37.2,115.0,39.0,14.8,0,Level 2
2024-03-04,38.9,165.0,26.9,13.0,0,Level 2
2024-03-05,32.8,194.0,35.0,15.1,0,Level 2
2024-03-06,35.7,124.0,46.3,6.4,0,Level 2
2024-03-07,35.3,186.0,57.6,12.8,0,Level 2
2024-03-08,33.1,182.0,38.3,23.8,0,Level 2
2024-03-09,36.4,148.0,22.8,21.9,0,Level 2
2024-03-10,31.9,142.0,52.6,7.4,0,Level 2
2024-03-11,39.5,221.0,49.4,10.6,0,Level 2
2024-03-12,36.5,221.0,50.0,24.8,0,Level 2
2024-03-13,41.4,240.0,33.6,22.2,0,Level 3
2024-03-14,32.0,213.0,50.0,7.1,0,Level 2
2024-03-15,41.5,234.0,32.8,12.8,0,Level 3
2024-03-16,35.1,114.0,56.2,11.4,1,Level 3
2024-03-17,35.5,167.0,45.3,10.9,0,Level 2
2024-03-18,38.0,213.0,46.9,20.8,0,Level 2
2024-03-19,34.9,182.0,22.3,13.8,0,Level 2
2024-03-20,30.5,118.0,34.0,7.9,0,Level 2
2024-03-21,30.9,205.0,23.4,6.5,0,Level 2
2024-03-22,36.2,112.0,48.2,6.7,1,Level 3
2024-03-23,27.8,242.0,52.5,24.7,0,Level 2
2024-03-24,28.0,113.0,35.1,20.5,0,Level 2
2024-03-25,39.3,174.0,24.4,5.2,0,Level 2
2024-03-26,34.2,118.0,22.3,7.4,0,Level 2
2024-03-27,37.6,156.0,58.5,10.7,0,Level 2
2024-03-28,42.7,244.0,28.9,5.2,1,Level 3
2024-03-29,36.1,183.0,23.0,24.4,0,Level 2
2024-03-30,35.1,204.0,45.2,14.1,0,Level 2
2024-03-31,39.4,142.0,21.8,24.0,0,Level 2
2024-04-01,35.9,193.0,38.2,10.5,0,Level 2
