date,temperature_C,air_quality_index,humidity_percent,wind_speed_kmh,rain,charging_level_required
2024-01-01,17.5,240.0,52.0,7.3,0,Level 1
2024-01-02,14.3,267.0,31.7,14.0,0,Level 3
2024-01-03,12.7,198.0,35.5,9.6,0,Level 1
2024-01-04,17.7,209.0,43.0,14.2,0,Level 1
2024-01-05,10.5,259.0,43.7,8.0,0,Level 3
2024-01-06,7.9,185.0,47.8,14.1,0,Level 1
2024-01-07,12.0,224.0,50.5,6.8,0,Level 1
2024-01-08,13.5,271.0,31.0,8.9,0,Level 3
2024-01-09,16.0,198.0,46.4,19.5,0,Level 1
2024-01-10,5.2,269.0,58.2,14.0,0,Level 3
2024-01-11,14.4,207.0,41.7,17.4,0,Level 1
2024-01-12,13.5,234.0,38.4,7.1,0,Level 1
2024-01-13,11.6,262.0,30.2,15.6,0,Level 3
2024-01-14,18.1,187.0,53.1,10.4,0,Level 1
2024-01-15,16.7,186.0,39.9,9.7,0,Level 1
2024-01-16,19.9,244.0,51.9,18.3,0,Level 3
2024-01-17,16.8,236.0,52.8,16.6,0,Level 1
2024-01-18,11.8,223.0,45.7,5.4,0,Level 1
2024-01-19,15.4,231.0,39.4,18.6,0,Level 1
2024-01-20,13.5,256.0,42.3,8.4,0,Level 3
2024-01-21,11.0,261.0,57.9,14.5,0,Level 3
2024-01-22,12.5,199.0,54.1,18.4,0,Level 1
2024-01-23,11.5,223.0,36.8,17.3,0,Level 1
2024-01-24,13.4,231.0,30.2,11.3,0,Level 1
2024-01-25,13.3,212.0,58.3,12.8,0,Level 1
2024-01-26,11.0,277.0,40.9,19.4,0,Level 3
2024-01-27,5.4,184.0,38.5,14.1,0,Level 1
2024-01-28,14.9,208.0,31.5,18.6,0,Level 1
2024-01-29,14.8,204.0,59.6,15.1,0,Level 1
2024-01-30,9.2,253.0,37.1,10.5,0,Level 3
2024-01-31,17.9,264.0,32.7,9.8,0,Level 3
2024-02-01,26.0,151.0,31.2,15.2,0,Level 2
2024-02-02,7.2,101.0,49.4,15.4,0,Level 1
2024-02-03,15.3,97.0,58.1,10.1,0,Level 1
2024-02-04,19.1,147.0,54.5,12.9,0,Level 1
2024-02-05,8.8,188.0,32.8,18.5,0,Level 1
2024-02-06,8.8,188.0,51.8,18.3,0,Level 1
2024-02-07,8.4,90.0,49.3,7.4,0,Level 1
2024-02-08,16.5,99.0,30.2,13.2,0,Level 1
2024-02-09,11.4,107.0,49.6,15.7,0,Level 1
2024-02-10,20.8,182.0,49.5,14.9,0,Level 1
2024-02-11,10.9,124.0,32.8,9.0,0,Level 1
2024-02-12,14.6,156.0,56.8,16.9,0,Level 1
2024-02-13,16.7,139.0,47.3,7.9,0,Level 1
2024-02-14,9.6,194.0,58.2,18.7,0,Level 1
2024-02-15,17.4,191.0,30.5,11.4,0,Level 1
2024-02-16,10.8,118.0,55.5,7.5,0,Level 1
2024-02-17,7.4,164.0,58.1,13.6,0,Level 1
2024-02-18,15.3,169.0,56.3,15.5,0,Level 1
2024-02-19,9.3,115.0,40.8,17.1,0,Level 1
2024-02-20,17.6,158.0,53.9,15.5,0,Level 1
2024-02-21,34.3,121.0,56.7,10.6,0,Level 2
2024-02-22,12.6,145.0,44.0,9.3,0,Level 1
2024-02-23,15.4,84.0,30.9,17.3,0,Level 1
2024-02-24,15.3,106.0,53.1,14.3,0,Level 1
2024-02-25,9.6,144.0,31.6,13.1,0,Level 1
2024-02-26,4.9,112.0,53.9,11.6,0,Level 1
2024-02-27,15.9,196.0,30.8,17.5,0,Level 1
2024-02-28,9.0,110.0,34.7,13.2,0,Level 1
2024-02-29,13.3,114.0,49.8,19.3,0,Level 1
2024-03-01,48.5,110.0,42.6,10.3,0,Level 3
2024-03-02,44.1,94.0,30.4,5.7,0,Level 3
2024-03-03,41.8,92.0,44.2,12.4,0,Level 2
2024-03-04,43.1,132.0,35.2,11.0,0,Level 3
