date,temperature_C,air_quality_index,humidity_percent,wind_speed_kmh,rain,charging_level_required
2024-01-01,25.0,366.0,67.9,7.8,0,Level 3
2024-01-02,18.6,78.0,24.6,43.3,1,Level 3
2024-01-03,35.8,10.0,97.6,41.6,1,Level 3
2024-01-04,27.7,106.0,34.5,9.2,1,Level 3
2024-01-05,22.4,216.0,43.3,30.6,1,Level 3
2024-01-06,0.9,70.0,43.4,18.3,0,Level 1
2024-01-07,34.7,100.0,61.1,29.6,1,Level 3
2024-01-08,17.7,23.0,68.6,8.5,1,Level 3
2024-01-09,14.0,342.0,55.2,6.1,0,Level 3
2024-01-10,17.1,248.0,22.8,45.5,1,Level 3
2024-01-11,28.2,156.0,61.6,27.3,0,Level 2
2024-01-12,7.8,92.0,97.6,38.8,0,Level 3
2024-01-13,27.4,44.0,35.7,2.3,1,Level 3
2024-01-14,21.7,163.0,51.1,13.6,1,Level 3
2024-01-15,15.4,140.0,63.4,7.0,0,Level 2
2024-01-16,30.6,401.0,26.0,49.3,0,Level 3
2024-01-17,13.2,3.0,85.2,35.3,1,Level 3
2024-01-18,26.1,365.0,81.7,3.7,1,Level 3
2024-01-19,11.6,432.0,69.9,16.5,1,Level 3
2024-01-20,16.9,32.0,44.9,16.3,0,Level 2
2024-01-21,28.1,444.0,57.8,6.0,1,Level 3
2024-01-22,33.6,357.0,80.9,28.1,0,Level 3
2024-01-23,19.6,261.0,54.2,1.3,0,Level 3
2024-01-24,35.6,54.0,22.5,31.8,0,Level 3
2024-01-25,20.9,454.0,39.9,20.5,1,Level 3
2024-01-26,0.1,378.0,38.3,3.8,1,Level 3
2024-01-27,11.9,465.0,84.6,31.7,1,Level 3
2024-01-28,15.0,436.0,84.3,9.3,1,Level 3
2024-01-29,21.0,404.0,91.7,15.9,1,Level 3
2024-01-30,29.7,55.0,38.2,21.4,1,Level 3
2024-01-31,23.0,3.0,60.9,20.9,1,Level 3
2024-02-01,22.6,111.0,29.6,16.9,0,Level 2
2024-02-02,18.4,259.0,76.2,18.2,1,Level 3
2024-02-03,24.0,486.0,97.0,12.6,0,Level 3
2024-02-04,0.8,142.0,23.0,30.5,0,Level 1
2024-02-05,19.7,251.0,24.1,13.9,1,Level 3
2024-02-06,18.1,72.0,59.2,49.3,0,Level 2
2024-02-07,23.0,121.0,73.8,38.1,0,Level 2
2024-02-08,27.9,184.0,70.6,31.7,0,Level 2
